Delivery_ID,Order_Date,Zone,Restaurant_Type,Distance_KM,Order_Value,Delivery_Fee,Delivery_Time_Min,Weather,Rider_Experience_Level,Customer_Rating,Late_Delivery
FD-5082,2026-08-08,Industrial,Cafe,2.8,48.79,4.75,36,Heavy Rain,Intermediate,5.0,No
FD-5083,2026-07-27,Industrial,Fast Food,6.7,31.49,7.03,22,Clear,Experienced,4.5,No
FD-5084,2026-05-07,University,Asian,5.1,20.75,7.77,33,Clear,Intermediate,4.5,No
FD-5085,2026-07-11,City Centre,Western,6.2,44.07,7.42,42,Clear,Intermediate,5.0,No
FD-5086,2026-08-13,University,Western,8.7,24.33,9.71,32,Clear,Intermediate,4.0,No
FD-5087,2026-05-06,City Centre,Western,3.8,22.48,6.14,32,Clear,Beginner,5.0,No
FD-5088,2026-08-04,Suburban,Western,6.2,54.32,6.68,32,Clear,Intermediate,4.5,No
FD-5089,2026-06-24,University,Asian,7.5,37.44,7.47,40,Rain,Intermediate,4.5,No
FD-5090,2026-06-30,City Centre,Cafe,3.2,48.59,4.78,36,Heavy Rain,Experienced,4.0,No
FD-5091,2026-07-20,University,Local,6.0,39.11,7.18,45,Clear,Beginner,4.5,No
FD-5092,2026-05-23,University,Cafe,7.7,22.45,9.2,49,Rain,Beginner,3.0,Yes
FD-5093,2026-07-01,Industrial,Fast Food,10.0,67.98,10.8,41,Rain,Experienced,4.0,No
FD-5094,2026-06-29,University,Cafe,3.2,34.97,4.79,25,Clear,Beginner,5.0,No
FD-5095,2026-06-08,Industrial,Western,7.7,60.63,9.29,43,Rain,Intermediate,4.5,No
FD-5096,2026-05-05,Suburban,Western,9.1,30.86,9.13,49,Rain,Intermediate,2.5,Yes
FD-5097,2026-06-23,Industrial,Local,4.6,37.49,6.66,43,Rain,Beginner,5.0,No
FD-5098,2026-06-14,City Centre,Fast Food,6.8,22.0,7.09,26,Clear,Intermediate,4.5,No
FD-5099,2026-07-23,Industrial,Cafe,1.8,17.39,3.79,33,Clear,Intermediate,4.0,No
FD-5100,2026-05-13,City Centre,Asian,2.9,42.12,4.78,27,Rain,,4.5,No
FD-5101,2026-06-17,Industrial,Fast Food,5.0,10.46,6.59,19,Clear,Intermediate,4.5,No
FD-5102,2026-08-06,Suburban,Western,10.2,14.77,10.97,50,Rain,Intermediate,4.0,Yes
FD-5103,2026-07-11,Suburban,Local,6.6,25.39,6.85,36,Clear,Intermediate,4.0,No
FD-5104,2026-05-24,Suburban,Asian,8.1,10,9.28,35,Clear,Intermediate,4.5,No
FD-5105,2026-06-29,City Centre,Asian,4.1,14.9,5.37,27,Clear,Intermediate,4.5,No
FD-5106,2026-05-30,City Centre,Asian,5.3,66.49,6.43,31,Clear,Intermediate,4.5,No
FD-5107,2026-05-30,Suburban,Cafe,8.0,45.04,8.67,32,Clear,Intermediate,4.5,No
FD-5108,2026-05-07,University,Western,2.5,44.28,5.63,32,Clear,Experienced,4.0,No
FD-5109,2026-07-02,Suburban,Asian,7.2,48.52,8.08,28,Clear,Experienced,4.0,No
FD-5110,2026-05-31,Industrial,Fast Food,6.3,70.64,8.17,53,Heavy Rain,Beginner,3.0,Yes
FD-5111,2026-05-01,Suburban,Western,9.8,42.35,9.75,48,Rain,Experienced,,Yes
FD-5112,2026-06-09,Suburban,Local,9.1,53.43,8.55,56,Heavy Rain,Beginner,3.5,Yes
FD-5113,2026-06-12,Suburban,Fast Food,5.4,28.14,6.08,33,Clear,Beginner,4.5,No
FD-5114,2026-05-18,Suburban,Local,5.5,24.32,7.09,33,Clear,Intermediate,4.0,No
FD-5115,2026-05-16,Suburban,Cafe,1.9,30.93,5.47,24,Clear,Intermediate,4.5,No
FD-5116,2026-07-29,Suburban,Local,5.6,77.86,7.53,28,Clear,Experienced,4.0,No
FD-5117,2026-08-18,City Centre,Local,2.2,34.52,4.75,31,Clear,Intermediate,4.5,No
FD-5118,2026-06-17,Suburban,Fast Food,4.2,41.89,6.7,36,Clear,Beginner,4.0,No
FD-5119,2026-08-16,Industrial,Asian,6.9,58.77,8.41,39,Clear,Experienced,4.5,No
FD-5120,2026-05-02,Industrial,Local,9.5,28.17,8.95,48,Heavy Rain,Intermediate,2.5,Yes
FD-5121,2026-07-31,Suburban,Local,18.5,34.97,16.2,48,Clear,Experienced,4.0,Yes
FD-5122,2026-08-16,University,Fast Food,5.8,67.81,7.92,20,Clear,Experienced,5.0,No
FD-5123,2026-07-21,City Centre,Asian,5.6,14.45,7.78,37,Clear,Beginner,4.5,No
FD-5124,2026-05-25,Suburban,Western,4.4,48.12,7.02,31,Clear,Intermediate,4.5,No
FD-5125,2026-05-28,Suburban,Local,7.0,26.3,7.87,37,Clear,Intermediate,4.0,No
FD-5126,2026-05-26,University,Local,6.8,36.15,7.75,23,Clear,Intermediate,5.0,No
FD-5127,2026-07-28,City Centre,Fast Food,4.2,30.48,5.54,20,Clear,Experienced,4.5,No
FD-5128,2026-08-02,University,Asian,4.8,80.01,6.9,40,Clear,Beginner,4.0,No
FD-5129,2026-07-07,University,Local,7.4,34.9,7.74,37,Clear,Experienced,4.5,No
FD-5130,2026-07-07,Suburban,Fast Food,7.2,45.41,7.95,25,Clear,Experienced,4.5,No
FD-5131,2026-06-30,City Centre,Western,5.6,35.63,6.2,34,Rain,Intermediate,4.5,No
FD-5132,2026-08-06,City Centre,Asian,4.4,33.88,6.76,82,Heavy Rain,Experienced,2.5,Yes
FD-5133,2026-05-04,Industrial,Western,4.9,49.66,7.2,33,Clear,Experienced,4.5,No
FD-5134,2026-05-10,Industrial,Cafe,6.6,28.77,7.13,36,Clear,Intermediate,4.5,No
FD-5135,2026-07-22,University,Cafe,10.1,78.25,10.64,35,Clear,Experienced,4.0,No
FD-5136,2026-05-18,Suburban,Western,8.5,35.83,9.52,30,Clear,Intermediate,5.0,No
FD-5137,2026-08-02,University,Fast Food,7.7,10,9.02,27,Clear,Experienced,4.0,No
FD-5138,2026-07-01,City Centre,Local,2.4,27.44,5.88,48,Rain,Beginner,2.5,Yes
FD-5139,2026-06-26,City Centre,Fast Food,3.1,18.91,5.32,31,Rain,Intermediate,4.5,No
FD-5140,2026-07-07,City Centre,Local,5.0,14.69,7.02,28,Clear,Experienced,4.0,No
FD-5141,2026-07-25,City Centre,Cafe,2.0,50.4,5.71,22,Clear,Intermediate,4.5,No
FD-5142,2026-05-26,Industrial,Western,5.7,46.51,7.86,37,Clear,Beginner,4.5,No
FD-5143,2026-05-09,City Centre,Local,5.9,53.69,7.96,41,Rain,Intermediate,4.5,No
FD-5144,2026-05-29,University,Fast Food,7.3,27.17,8.24,37,Clear,Intermediate,4.0,No
FD-5145,2026-08-18,Suburban,Western,6.4,30.79,7.83,42,Rain,Intermediate,4.0,No
FD-5008,2026-05-07,City Centre,Asian,6.6,44.73,8.61,26,Clear,Experienced,4.0,No
FD-5064,2026-05-25,University,Local,5.7,22.04,6.49,37,Rain,Intermediate,4.5,No
FD-5119,2026-08-16,Industrial,Asian,6.9,58.77,8.41,39,Clear,Experienced,4.5,No
