Booking_ID,Booking_Date,Hotel_Location,Room_Type,Guest_Type,Booking_Channel,Nights,Guests,Room_Rate,Discount,Booking_Revenue,Cancellation_Status,Rating
HB-3104,2026-06-29,Kuala Lumpur,Standard,Family,Travel App,2,4,177.8,0.15,302.26,No,4.0
HB-3105,2026-07-30,Melaka,Deluxe,Business,Travel App,2,2,260.28,0,520.56,No,4.0
HB-3106,2026-05-21,Langkawi,Deluxe,Business,Website,2,1,281.25,0.05,534.38,No,4.5
HB-3107,2026-07-01,Melaka,Family,Leisure,Website,2,2,342.72,0,0,Yes,
HB-3108,2026-06-15,Penang,Suite,Family,Travel App,14,4,444.58,0.1,5601.71,No,4.0
HB-3109,2026-05-12,Penang,Deluxe,Leisure,Walk-In,5,3,269.29,0.15,1144.48,No,4.5
HB-3110,2026-08-14,Kuala Lumpur,Deluxe,Leisure,Corporate,5,2,250.97,0,0,Yes,
HB-3111,2026-05-20,Penang,Deluxe,Leisure,Website,1,3,255.33,0,255.33,No,5.0
HB-3112,2026-08-16,Penang,Standard,Leisure,Website,4,3,170.12,0.1,612.43,No,5.0
HB-3113,2026-08-06,Melaka,Deluxe,Family,Corporate,2,2,252.41,0.05,479.58,No,4.5
HB-3114,2026-07-13,Melaka,Standard,Business,Walk-In,4,2,194.38,0,777.52,No,4.5
HB-3115,2026-08-16,Langkawi,Standard,Family,,3,2,177.3,0.1,478.71,No,5.0
HB-3116,2026-07-15,Kuala Lumpur,Deluxe,Family,Travel App,7,2,289.94,0.1,1826.62,No,5.0
HB-3117,2026-07-03,Melaka,Deluxe,Leisure,Travel App,3,3,290.39,0.05,827.61,No,3.0
HB-3118,2026-06-20,Penang,Deluxe,Business,Travel App,2,2,282.37,0.05,536.5,No,3.0
HB-3119,2026-07-05,Langkawi,Deluxe,Leisure,Corporate,1,1,284.02,0.1,255.62,No,4.5
HB-3120,2026-05-28,Melaka,Standard,Leisure,Website,3,3,178.32,0.1,481.46,No,4.0
HB-3121,2026-05-09,Langkawi,Family,Business,Corporate,2,1,332.13,0.15,564.62,No,4.0
HB-3122,2026-07-29,Kuala Lumpur,Standard,Family,Walk-In,4,2,166.1,0,664.4,No,3.0
HB-3123,2026-07-19,Kuala Lumpur,Standard,Business,Corporate,4,2,187.68,0.1,675.65,No,3.5
HB-3124,2026-05-19,Kuala Lumpur,Family,Business,Website,2,4,333.85,0,667.7,No,3.5
HB-3125,2026-06-02,Penang,Standard,Leisure,Travel App,4,1,166.75,0.05,633.65,No,4.5
HB-3126,2026-06-24,Melaka,Deluxe,Leisure,Walk-In,3,4,288.0,0.15,734.4,No,4.5
HB-3127,2026-07-24,Melaka,Deluxe,Leisure,Website,2,2,277.6,0.1,499.68,No,4.0
HB-3128,2026-07-29,Langkawi,Family,Leisure,Travel App,1,4,316.5,0,316.5,No,5.0
HB-3129,2026-07-28,Melaka,Deluxe,Leisure,Website,3,2,247.76,0.05,706.12,No,4.0
HB-3130,2026-07-23,Langkawi,Deluxe,Leisure,Travel App,1,2,273.13,0.1,245.82,No,3.0
HB-3021,2026-08-01,Melaka,Deluxe,Business,Corporate,2,2,264.13,0.15,449.02,No,4.0
HB-3075,2026-05-12,Penang,Standard,Business,Travel App,1,4,182.17,0.1,163.95,No,3.5
HB-3105,2026-07-30,Melaka,Deluxe,Business,Travel App,2,2,260.28,0,520.56,No,4.0
