Order_ID,Order_Date,Region,Category,Product,Customer_Type,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method
ORD-1069,2026-07-11,Northern,Office Supplies,Notebook Pack,Student,2,28.54,0.0,57.08,28.08,29.0,Card
ORD-1070,2026-08-02,Central,Office Supplies,Printer Paper,Small Business,2,32.64,0.0,65.28,36.5,28.78,E-Wallet
ORD-1071,2026-06-29,Northern,Office Supplies,Printer Ink,Corporate,4,95.93,0.05,364.53,234.32,130.21,Cash
ORD-1072,2026-06-29,Central,Technology,Laptop,Small Business,1,2822.04,0.05,2680.94,2189.06,491.88,Card
ORD-1073,2026-06-07,East Malaysia,Technology,Tablet,Individual,2,1220.77,0.1,2197.39,1770.48,426.91,Cash
ORD-1074,2026-08-08,Central,Technology,Smartphone,Student,2,1770.41,0.0,3540.82,2682.86,857.96,Cash
ORD-1075,2026-06-21,Northern,Office Supplies,Printer Paper,Corporate,5,31.34,0.1,141.03,88.7,52.33,E-Wallet
ORD-1076,2026-08-08,East Coast,Furniture,Desk Lamp,Small Business,1,162.18,0.0,162.18,83.38,78.8,Cash
ORD-1077,2026-08-01,Central,Furniture,Study Desk,Individual,1,874.61,0.1,787.15,629.11,158.04,Online Banking
ORD-1078,2026-07-15,Central,Office Supplies,Printer Paper,Small Business,4,,0.05,121.9,70.76,51.14,Cash
ORD-1079,2026-07-29,Central,Furniture,Study Desk,Corporate,8,920.17,0.1,6625.22,4864.0,1761.22,E-Wallet
ORD-1080,2026-06-11,East Malaysia,Technology,Tablet,Corporate,1,1284.71,0.05,1220.47,883.82,336.65,Online Banking
ORD-1081,2026-06-15,Northern,Furniture,Bookshelf,Individual,2,475.5,0.15,808.35,615.52,192.83,Online Banking
ORD-1082,2026-08-02,Central,Technology,Tablet,Individual,9,1268.95,0.15,9707.47,7972.47,1735.0,Online Banking
ORD-1083,2026-07-21,Central,Furniture,Bookshelf,Corporate,4,485.05,0.1,1746.18,1250.64,495.54,Cash
ORD-1084,2026-06-01,Central,Furniture,Bookshelf,Small Business,5,488.73,0.0,2443.65,1556.1,887.55,E-Wallet
ORD-1085,2026-08-12,East Malaysia,Furniture,Bookshelf,Individual,1,479.52,0.05,455.54,308.04,147.5,E-Wallet
ORD-1086,2026-07-11,East Coast,Furniture,Study Desk,Individual,4,910.4,0.05,3459.52,2445.32,1014.2,Cash
ORD-1087,2026-08-20,Central,Office Supplies,Printer Ink,Individual,2,97.38,0.05,185.02,115.46,69.56,Card
ORD-1088,2026-08-21,East Malaysia,Technology,Wireless Headphones,Corporate,7,409.45,0.0,2866.15,1824.76,1041.39,E-Wallet
ORD-1089,2026-06-01,Central,Technology,Tablet,Corporate,2,1273.41,0.05,2419.48,1793.92,625.56,Online Banking
ORD-1090,2026-06-10,Southern,Technology,Smartphone,Student,1,1790.62,0.15,1522.03,1370.79,151.24,E-Wallet
ORD-1091,2026-06-03,Southern,Office Supplies,Printer Ink,Individual,3,93.67,0.15,238.86,175.26,63.6,Card
ORD-1092,2026-06-17,East Malaysia,Technology,Tablet,Corporate,6,1247.67,0.05,7111.72,5406.84,1704.88,Online Banking
ORD-1093,2026-08-05,East Coast,Office Supplies,Notebook Pack,Student,1,27.68,0.15,23.53,13.73,9.8,Online Banking
ORD-1094,2026-08-04,Central,Office Supplies,Printer Paper,Corporate,30,32.06,0.0,961.8,547.5,414.3,Cash
ORD-1095,2026-06-07,East Coast,Office Supplies,Pen Set,Individual,2,17.54,0.0,35.08,15.82,19.26,E-Wallet
ORD-1096,2026-08-04,Northern,Technology,Tablet,Student,1,1229.98,0.05,1168.48,898.1,270.38,E-Wallet
ORD-1097,2026-07-17,Central,Technology,Laptop,Small Business,1,2760.12,0.1,2484.11,2199.09,285.02,E-Wallet
ORD-1098,2026-06-10,East Malaysia,Furniture,Study Desk,Corporate,7,913.93,0.05,6077.63,4348.61,1729.02,Card
ORD-1099,2026-06-19,East Malaysia,Furniture,Bookshelf,Corporate,7,478.83,0.15,2849.04,2142.63,706.41,E-Wallet
ORD-1100,2026-07-30,Central,Furniture,Study Desk,Individual,4,892.23,0.15,3033.58,2527.96,505.62,Card
ORD-1101,2026-08-14,Central,Office Supplies,Printer Paper,Individual,8,32.83,0.0,262.64,146.72,115.92,Online Banking
ORD-1102,2026-06-14,Southern,Furniture,Bookshelf,,1,478.66,0.0,478.66,304.36,174.3,Online Banking
ORD-1103,2026-07-21,Central,Furniture,Study Desk,Small Business,4,921.28,0.0,3685.12,2475.24,1209.88,E-Wallet
ORD-1104,2026-07-23,East Coast,Technology,Tablet,Corporate,1,1225.44,0.0,1225.44,884.37,341.07,Card
ORD-1105,2026-07-12,East Malaysia,Office Supplies,Printer Paper,Individual,6,32.29,0.05,184.05,109.14,74.91,Cash
ORD-1106,2026-08-03,Central,Technology,Tablet,Individual,1,1216.33,0.0,1216.33,900.15,316.18,Online Banking
ORD-1107,2026-06-03,Northern,Office Supplies,Printer Ink,Student,4,92.82,0.0,371.28,233.76,137.52,Online Banking
ORD-1108,2026-07-23,East Malaysia,Furniture,Bookshelf,Small Business,5,476.25,0.05,2262.19,1557.8,704.39,Cash
ORD-1109,2026-07-18,Central,Furniture,Study Desk,Individual,5,887.07,0.05,4213.58,3051.8,1161.78,Card
ORD-1110,2026-07-06,East Coast,Office Supplies,Printer Paper,Individual,4,31.91,,121.26,72.68,48.58,E-Wallet
ORD-1111,2026-08-01,Southern,Office Supplies,Printer Ink,Student,1,94.6,0.05,89.87,57.23,32.64,Online Banking
ORD-1112,2026-06-28,Central,Furniture,Study Desk,Corporate,5,907.36,0.15,3856.28,3087.15,769.13,E-Wallet
ORD-1113,2026-07-28,East Malaysia,Technology,Wireless Headphones,Student,1,427.92,0.05,406.52,255.8,150.72,Online Banking
ORD-1114,2026-06-22,Northern,Technology,Laptop,Student,2,2825.56,0.0,5651.12,4432.64,1218.48,Online Banking
ORD-1115,2026-06-20,East Malaysia,Technology,Smartphone,Small Business,2,1838.0,0.1,3308.4,2647.52,660.88,E-Wallet
ORD-1116,2026-08-13,East Malaysia,Technology,Laptop,Corporate,6,2823.35,0.15,14399.08,12980.1,1418.98,Card
ORD-1117,2026-07-15,East Malaysia,Furniture,Office Chair,,1,653.26,0.1,587.93,430.16,157.77,E-Wallet
ORD-1118,2026-08-01,Northern,Office Supplies,Printer Ink,Individual,1,92.91,0.0,92.91,58.32,34.59,Online Banking
ORD-1119,2026-07-18,Northern,Technology,Smartphone,Individual,2,1825.35,0.15,3103.09,2733.48,369.61,E-Wallet
ORD-1120,2026-07-26,Central,Furniture,Office Chair,Individual,5,651.53,0.0,3257.65,2123.4,1134.25,Card
ORD-1015,2026-07-05,Southern,Technology,Tablet,Student,5,1284.32,0.15,5458.36,4553.9,904.46,Card
ORD-1053,2026-06-11,Southern,Furniture,Desk Lamp,Small Business,2,164.09,0.15,278.95,171.9,107.05,E-Wallet
ORD-1089,2026-06-01,Central,Technology,Tablet,Corporate,2,1273.41,0.05,2419.48,1793.92,625.56,Online Banking
