city,country,year,population,co2_emissions_tons_per_capita,renewable_energy_pct,recycling_rate_pct,energy_consumption_kwh_per_capita,water_usage_liters_per_capita,green_space_pct
Niamey,Niger,2021,1266188,4.01,25.9,31.3,704.4,168.7,16.5
Nairobi,Kenya,2023,3224520,4.26,43.1,19.9,2210.4,128.9,2.1
Kampala,Uganda,2020,4276680,3.78,47.2,37.7,2285.9,123.7,12.5
Conakry,Guinea,2023,4163630,1.34,20.4,37.7,2381.6,186.9,26.1
Accra,Ghana,2020,1719864,2.26,36.7,34.3,1132.3,304.4,28.8
Addis Ababa,Ethiopia,2022,3277487,,41.8,,1178.5,186.1,24.9
Banjul,Gambia,2020,2035884,3.45,19.5,11.8,409.8,252.4,18.9
Yaounde,Cameroon,2020,3134266,1.89,57.8,29.8,1255.5,168.0,28.1
Niamey,Niger,2023,1296756,,29.3,35.4,754.7,166.2,16.0
Kinshasa,DR Congo,2020,2506322,2.84,22.7,24.4,640.7,,16.3
Banjul,Gambia,2022,2279431,4.14,25.1,16.3,471.3,263.6,17.6
Dakar,Senegal,2019,476615,5.51,41.9,25.7,1735.5,150.8,22.7
Kinshasa,DR Congo,2022,2588729,3.13,25.9,26.2,698.7,73.4,16.1
Serrekunda,Gambia,2023,2896990,1.78,41.1,10.0,2430.3,174.8,11.8
Banjul,Gambia,2023,2212790,4.0,20.1,18.6,443.3,274.8,18.2
Dakar,Senegal,2022,530031,6.07,49.1,31.0,1945.7,170.6,21.1
Bamako,Mali,2023,2782403,0.96,46.5,,1191.9,174.9,10.9
Kampala,Uganda,2023,4450281,4.28,50.4,39.2,2402.6,129.7,11.4
Monrovia,Liberia,2023,2185736,0.86,57.2,32.6,1514.0,155.6,21.1
Monrovia,Liberia,2020,2042897,1.03,51.0,30.4,1406.0,136.3,23.6
Conakry,Guinea,2022,3658836,1.02,20.2,33.7,2020.6,197.3,26.6
Cotonou,Benin,2020,5031484,,49.1,26.3,850.2,277.4,13.2
Lagos,Nigeria,2023,2236635,4.74,31.3,16.5,2764.8,177.7,8.9
Bissau,Guinea-Bissau,2020,1503354,5.62,33.0,29.5,2423.5,72.9,26.2
Ouagadougou,Burkina Faso,2023,2139711,13.36,16.0,14.8,1021.6,93.8,4.4
Monrovia,Liberia,2022,2088823,0.92,54.6,31.2,1365.6,175.5,22.8
Cotonou,Benin,2023,5138830,2.38,55.1,30.7,835.1,279.0,12.6
Monrovia,Liberia,2019,1979748,1.03,49.6,28.6,1357.6,146.4,24.2
Accra,Ghana,2023,1798608,2.37,43.5,37.0,1151.2,289.7,26.0
Serrekunda,Gambia,2020,2719481,1.73,40.1,8.2,2296.5,,13.4
Bissau,Guinea-Bissau,2019,1466588,5.77,30.8,28.2,2318.9,86.0,26.7
Niamey,Niger,2019,1154016,3.7,24.4,28.2,669.8,164.5,17.4
Banjul,Gambia,2019,1992743,3.7,17.8,11.2,444.1,,19.2
Abidjan,Ivory Coast,2023,5921216,6.25,24.3,15.1,618.5,57.8,2.5
Serrekunda,Gambia,2021,2691968,1.82,39.4,8.3,2177.7,154.5,13.6
Lome,Togo,2022,4056563,4.29,39.6,22.7,1049.8,211.5,23.1
Cotonou,Benin,2023,5138830,2.38,55.1,30.7,835.1,279.0,12.6
Dakar,Senegal,2023,539403,6.12,44.9,32.4,1989.0,170.3,20.1
Serrekunda,Gambia,2022,2745743,1.87,43.5,11.9,2289.3,169.1,11.6
Abidjan,Ivory Coast,2021,5170254,5.72,24.8,,557.9,67.3,5.0
Yaounde,Cameroon,2023,3272158,1.45,60.6,33.2,1285.3,171.8,27.5
Bamako,Mali,2021,2728652,1.0,41.2,15.2,1086.0,176.5,12.6
Addis Ababa,Ethiopia,2021,3164569,1.74,38.8,31.8,1147.5,199.8,26.4
Freetown,Sierra Leone,2023,2655167,,35.4,48.4,2361.4,219.5,8.6
Bissau,Guinea-Bissau,2021,1583904,5.8,35.5,30.8,2535.7,78.8,26.1
Kinshasa,DR Congo,2021,2606514,3.01,22.4,25.3,649.5,87.0,15.2
Lagos,Nigeria,2022,2103753,4.41,27.4,16.6,2655.4,160.3,8.8
Cotonou,Benin,2022,5450661,2.36,49.5,30.3,907.0,265.1,11.5
Ouagadougou,Burkina Faso,2021,1967698,1.46,13.9,13.6,1015.9,91.1,4.8
Nairobi,Kenya,2019,2757184,3.85,34.6,12.8,1885.7,127.6,3.7
Ouagadougou,Burkina Faso,2022,2064190,1.79,18.9,15.3,961.3,84.5,4.3
Lome,Togo,2021,4004102,4.3,36.2,17.6,1067.2,226.9,23.2
